sampid,fromWhen,gender,yob,b153,b153z,b154,b156,b156z,b157,b158,b159,b160,b308,b162,b163,b166,b169,b184,b220,b221,b222,b223,b224,b225,b228,b241,b242,b243,b244,b245,b276,b277
8595,2010.0,1.0,1983.0,251.0,3.0,1.0,284.0,0.0,1011.0,1.0,6.0,6.0,,,,,1.0,,40.0,0.0,5.0,0.0,1.0,2400.0,4.0,3.0,3.0,3.0,3.0,2.0,2.0,
8596,2011.0,1.0,1992.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8597,2016.0,2.0,1987.0,901.0,18.0,3.0,4144.0,4.0,123.0,3.0,5.0,7.0,,,,,2.0,,6.0,0.0,1.0,0.0,2.0,60.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,
8598,2014.0,1.0,1992.0,281.0,3.0,1.0,8859.0,8.0,109.0,1.0,4.0,4.0,,,3.0,,1.0,,40.0,0.0,5.0,0.0,1.0,1200.0,3.0,2.0,1.0,2.0,2.0,2.0,2.0,
8600,2009.0,1.0,1982.0,461.0,7.0,2.0,281.0,0.0,104.0,1.0,5.0,5.0,,,,,1.0,,40.0,0.0,5.0,0.0,1.0,9090908.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,
8601,2014.0,2.0,1990.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8605,2009.0,2.0,1983.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8607,2012.0,2.0,1992.0,715.0,13.0,3.0,2149.0,2.0,207.0,1.0,6.0,7.0,,,,,1.0,,40.0,0.0,5.0,0.0,2.0,180.0,4.0,3.0,3.0,3.0,3.0,4.0,2.0,
8609,2009.0,2.0,1983.0,641.0,11.0,3.0,324.0,0.0,814.0,3.0,3.0,9.0,,,,,1.0,,40.0,0.0,5.0,0.0,2.0,9090908.0,4.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0
8610,2015.0,1.0,1991.0,620.0,10.0,2.0,1343.0,1.0,121.0,1.0,6.0,6.0,,,,,1.0,,40.0,15.0,5.0,0.0,1.0,2200.0,3.0,2.0,3.0,4.0,4.0,1.0,2.0,
