시도,행정구,삶의 만족도,1인당 GRDP,신혼부부수_스케일링,신혼부부수,평균 자살율,평균 소득,미술관,도서관,박물관,인당_기관수_스케일링,청년인구당_기관수_스케일링,인당_학원수_스케일링,인당_초/중/고_개수,학생당_학교수,공원수,평균공원면적,공원시설통합num평균,평균년도,응급실병상수 총합,병원,보건소,보건의료원,보건지소,보건진료소,상급종합,약국,요양병원,의원,정신병원,조산원,종합병원,치과병원,치과의원,한방병원,한의원
서울,송파구,0.7575,4772,0.510783752,13696,15.8,46473,3,12,5,0.0213234123,0.0242080983,0.450141318,0.000211412604,0.00190150743,140,25437.82643,0,,15.3308814,3.0358181,0.151790905,0,0.151790905,0,0.151790905,56.46621666,1.366118145,88.34230671,0.151790905,0,0.151790905,0.455372715,48.5730896,1.062536335,37.49235353
서울,강동구,0.3796,2077,0.584716056,10502,19.5,39818,,,,0,0,0.424078719,0.000209663544,0.00191517928,74,26148.5527,4.067567568,1983.040541,15.21517518,3.043035036,0.217359645,0,0,0,0,52.6010342,1.086798227,86.0744196,0,0,0.652078936,0.652078936,49.77535881,1.738877164,39.55945547
부산,중구,0.0225,8632,0.168212699,496,32.6,30863,1,1,2,0,0,0.219021428,0.000315043318,0.00647598489,4,69266.55,0,,25.19589811,5.039179622,2.519589811,0,0,0,0,115.9011313,10.07835924,166.2929275,0,0,2.519589811,0,95.74441281,2.519589811,60.47015546
부산,서구,0.3044,3257,0.250047443,1535,24.4,33300,1,1,2,0.270640391,0.301264743,0.312081665,0.000330549587,0.00397196262,7,393262.7429,3.428571429,1995.571429,109.323903,2.851927903,0.950642634,0,0,0,2.851927903,88.409765,4.753213172,56.08791543,0.950642634,0,0.950642634,0,34.22313484,1.901285269,27.5686364
부산,동구,0.0361,4770,0.422680261,1642,24,32294,,,,0,0,0.166300079,0.000276755959,0.00416811393,6,161992.3333,1.5,1982.666667,38.16705605,5.78288728,1.156577456,0,0,0,0,70.55122482,5.78288728,78.64726701,1.156577456,0,3.469732368,2.313154912,39.3236335,1.156577456,46.26309824
부산,영도구,0.2273,2514,0.160820543,1351,20.8,31575,,,,0.264778953,0.359748855,0.178457751,0.000389971085,0.00509506648,15,12791.6,1.8,1996.933333,14.7934465,1.849180813,0.924590406,0,0,0,0,47.15411073,4.622952032,63.79673805,0,0,1.849180813,0,24.96394097,0,26.81312179
부산,부산진구,0.4239,2466,0.407103494,6720,25.2,34083,1,4,4,0.153876513,0.162901491,0.353936858,0.000306782378,0.00365275767,31,150285.0258,0.838709677,1990.580645,24.72486563,4.495430114,0.280964382,0,0,0,0.280964382,55.34998328,3.93350135,124.1862569,0,0,0.842893146,1.123857529,46.64008744,1.123857529,41.86369294
부산,동래구,0.6437,1493,0.368719402,4757,22.1,37976,,,,0,0,0.587681308,0.000297344712,0.00247440537,48,42465.23125,0.791666667,1998.083333,15.37188994,6.58795283,0.365997379,0,0,0,0,51.97162788,5.489960692,72.10148375,0.365997379,0,1.097992138,1.097992138,50.14164099,1.097992138,40.25971174
부산,남구,0.5531,2385,0.178032948,3389,18.6,36161,1,2,6,0.217674979,0.196907073,0.35676181,0.000301047018,0.00282113285,45,38638.91111,0,2001.711111,8.192468391,1.950587712,0.390117542,0,0,0,0,42.52281212,3.120940339,66.31998221,1.170352627,0,0.390117542,0.390117542,39.40187178,0.390117542,33.15999111
부산,북구,0.3065,1100,0.45204195,5303,24.7,34861,,,,0.102978245,0.124464275,0.357960178,0.000336629342,0.00344618647,81,8217.097531,6.740740741,1999.160494,11.11680897,3.22746067,0.358606741,0,0.358606741,0,0,38.3709213,4.661887634,58.09429206,0.358606741,0,0.717213482,1.075820223,32.63321344,0.358606741,27.9713258
부산,해운대구,0.6314,2420,0.311222881,6164,26.2,41623,2,7,1,0.147632862,0.169762972,0.559749026,0.000259862856,0.00224061457,69,25331.45507,0,1994.681159,14.73686932,2.843957237,0.258541567,0,0.517083134,0,0,41.10810916,3.619581938,85.57725868,0.517083134,0,0.517083134,0.517083134,41.10810916,0.258541567,33.09332058
