영화명,개봉일,매출액,관객수,스크린수,상영횟수,대표국적,배급사,rating_mean,grade,genre,running_time,배급사 순위,grade_15세 이상 관람가,grade_전체 관람가,grade_청소년 관람불가,genre_드라마/로맨스/코미디,genre_스릴러/공포/미스터리,genre_애니메이션,genre_액션/어드벤처/SF,nation_미국,nation_미국 외 서구 국가,nation_한국,nation_한국 외 아시아
할로윈 킬즈,2021-10-27,34077500,5341,43,349,미국,유니버설픽쳐스인터내셔널 코리아(유),5.948275862,청소년 관람불가,스릴러/공포/미스터리,105분,4,0,0,1,0,1,0,0,1,0,0,0
스페이스 독 3: 트로피컬 어드벤처,2021-10-14,42907970,5261,172,735,그 외,(주)박수엔터테인먼트,7.0,전체 관람가,애니메이션,70분,11,0,1,0,0,0,1,0,0,0,0,0
사일런싱,2021-01-28,36651920,5011,89,693,미국,(주)홈초이스,6.4,15세 이상 관람가,스릴러/공포/미스터리,93분,11,1,0,0,0,1,0,0,1,0,0,0
여타짜,2021-12-08,42662840,4964,152,1425,한국,(주)박수엔터테인먼트,2.931818182,15세 이상 관람가,스릴러/공포/미스터리,96분,11,1,0,0,0,1,0,0,0,0,1,0
극장판 마이 리틀 포니: 새로운 희망,2021-09-22,43869890,4924,155,790,미국,(주)박수엔터테인먼트,8.8,전체 관람가,애니메이션,90분,11,0,1,0,0,0,1,0,1,0,0,0
캅샵: 미친놈들의 전쟁,2021-12-09,42088370,4783,139,1098,미국,(주)제이앤씨미디어그룹,6.458333333,15세 이상 관람가,액션/어드벤처/SF,106분,11,1,0,0,0,0,0,1,1,0,0,0
더 퍼지: 포에버,2021-07-14,32656830,4774,52,622,미국,유니버설픽쳐스인터내셔널 코리아(유),7.642857143,청소년 관람불가,스릴러/공포/미스터리,103분,4,0,0,1,0,1,0,0,1,0,0,0
호라이즌 라인,2021-02-10,32305070,4716,79,715,미국,(주)제이앤씨미디어그룹,4.28,12세 이상 관람가,스릴러/공포/미스터리,92분,11,0,0,0,0,1,0,0,1,0,0,0
푸른 호수,2021-10-13,35491120,4655,139,1172,미국,유니버설픽쳐스인터내셔널 코리아(유),9.170212766,12세 이상 관람가,드라마/로맨스/코미디,117분,4,0,0,0,1,0,0,0,1,0,0,0
인투 더 미러,2021-02-17,40530340,4506,219,1662,미국 외 서구 국가,(주)팝엔터테인먼트,7.827586207,15세 이상 관람가,액션/어드벤처/SF,104분,11,1,0,0,0,0,0,1,0,1,0,0
